sigle;wort_id;form;vers;lemma_ist;pos_ist;werk;gattung;autor;kontext_links;kontext_rechts
AC2;AC2_9100_9;hawe;;lemma_2598;VRB;Der Ackermann aus Böhmen;Streitgespräch;Johann von Tepl;"id=""AC2_9090_7"" lemmaRef=""lexicon.xml#lemma_3567"" pos=""VRB"" corresp=""variants.xml#type_169713"">lasz sten dein fluchen , sage nit von papenfels newe mere ,";"nit uber dich , so reren dir die spen <w xml:id=""AC2_9110_7"" lemmaRef=""lexicon.xml#lemma_4377"" pos=""NEG"" ana="""
AC2;AC2_25010_2;hawe;;lemma_2598;VRB;Der Ackermann aus Böhmen;Streitgespräch;Johann von Tepl;"d=""AC2_24160_2"" join=""left"">, die guten kreuter müssen verderben . ir gicht , ewr segensz";"fur sich . wie ist dann dem , das sie mer distel <w xml:id=""AC2_25020_1"" lemmaRef=""lexicon.xml#lemma_1073"" pos=""ADV"" ana=""lexicon.xm"
AC3;AC3_17290_9;hawe;;lemma_2598;VRB;Der Ackermann aus Böhmen;Streitgespräch;Johann von Tepl;, die guten kreuter mussen verderben . ir jecht , ewer sense;"vur sich . wie ist dann dem , das sie mer distel <w xml:id=""AC3_17300_12"" lemmaRef=""lexicon.xml#lemma_1073"" pos=""CNJ"" ana=""lexicon.xm"
AC3;AC3_23010_1;hawe;;lemma_2598;NOM;Der Ackermann aus Böhmen;Streitgespräch;Johann von Tepl;"ET"" ana=""lexicon.xml#lemma_4369_sense_13755"" corresp=""variants.xml#type_15254"">ninder rachunge : gerochen muste es werden wider euch , vnd solte darvmb";"vnd schaufel noch eines gemuet werden ! der tot . <w xml:id=""AC3_23011_3"" lemmaRef=""lexicon.xml#lemma_1097"" pos=""DET"" ana=""lexicon.xml#lemma_1097_sense_1741"" corresp"
CEFB;CEFB_71000210500_11;hawe;;lemma_2598;VRB VEX;Fechtbuch;Fechtlehre;Anonym;"emmaRef=""lexicon.xml#lemma_12104"" pos=""VRB"" corresp=""variants.xml#type_356372"">verzuck kurtz / streich lang nach / oder brichs mit dem feier oder kron";"etc . bleiben . leg dich in die ober huot oder <hi rend=""upper_case_firs"
CEFB;CEFB_172000471600_10;hawe;;lemma_2598;VRB VEX;Fechtbuch;Fechtlehre;Anonym;"xicon.xml#lemma_73033"" pos=""NOM"" corresp=""variants.xml#type_356153"">schweche als wann er dir oben zuohawet von seiner rechten achseln / so";auch von deinr rechten / mit ihm zugleich / starck
CEFB;CEFB_341000801500_7;hawe;;lemma_2598;VRB VEX;Fechtbuch;Fechtlehre;Anonym;"type_3507"">der lincken seiten auß dem bucklier / fast übersich in sein schwerdt / vnd";"ihm dann von der lincken seitten zum haupt / vnd <w xml:id=""CEFB_341000"
DES2;DES2_291281010_8;hawe;;lemma_2598;VRB VEX;Das Buch von guter Speise;Kochrezepte;Anonym;"_129836"">hünern diß heyssen königs hüner nim iunge gebratenne hüner";"die an kleyne stücke nym frisch eyer vnd zcu slahe <w xml:id=""DES2_291281020_6"" lemmaRef=""lexicon."
GAR;GAR_1530_5;hawe;153;lemma_2598;VRB VEX;Garel vom blühenden Tal;Artusroman;Der Pleier;"corresp=""variants.xml#type_46314"">choemen . &gt; also sprach der werde man . &lt; war er mein vrawen";"getan , binamen , daz wil ich pesehen . vind <w xml:id=""GAR_1550_1"" lemmaRef=""lexicon.xml#lemma_3001"" pos"
GAR;GAR_40930_3;hawe;4093;lemma_2598;VRB VEX;Garel vom blühenden Tal;Artusroman;Der Pleier;"40910_2"" lemmaRef=""lexicon.xml#lemma_7193"" pos=""PRP"" ana=""lexicon.xml#lemma_7193_sense_11656"" corresp=""variants.xml#type_25544"">von seiner manhait vil dicke grozzeu wunder sait , daz man in";"dester paz . doch wil ich wol gelauben , <w xml:id=""GAR_40940_6"" lemmaRef=""lexicon.xml#lemma_1097"" pos=""ART CNJ"" ana=""lexicon.xml#lemma_1097_sense_1741"" corresp=""variants.xm"
KFB;KFB_11812_4;hawe;;lemma_2598;VRB VEX;Kölner Fechtbuch;Fechtlehre;Anonym;"exicon.xml#lemma_1119_sense_1770"" corresp=""variants.xml#type_3507"">der linck ouer hewe mach bossen myt dem rechten voysz vnd";"myt der langen snyden durch ym deen koff ym <w xml:id=""KFB_11813_2"" lemmaRef=""lexicon.xml#lemma_20997"" pos=""NOM"" corresp=""variants.xml"
KFB;KFB_12820_9;hawe;;lemma_2598;VRB VEX;Kölner Fechtbuch;Fechtlehre;Anonym;> item eyn stuck heyst das relyn bruch den flogell;"iiij mayl an eym stuck item eyn bruch vuer den <w xml:id=""KF"
MR2;MR2_12484100113100_4;hawe;113;lemma_2598;VRB VEX;Minnereden Band 2;Minnerede;Anonym;als ander gancz baum zwene . beuget er zum ersten;, so ist er swacher stete unnd daug nit zu
