conceptId,prefLabelDe,prefLabelEn,altLabelDe,altLabelEn,broaderConcepts
10000000,Universum/Welt,Universe/world,,,
11000000,Himmel/Atmosphäre/Himmelskörper,Sky/Atmosphere/Celestial bodies,Astronomische Objekte,Space,"10000000,32160000"
11100000,Himmelskörper/Namen,Celestial Bodies/Names,,,11000000
11200000,Wetter/Winde,Weather/Winds,Witterung,Weather conditions,11000000
11210000,Wetter und Winde/Namen,Weather and Winds/Names,,,11200000
11300000,Himmelsrichtungen,Cardinal points,,,11000000
12000000,Planet Erde,Planet Earth,Globus,Globe,10000000
12010000,Geografische Erscheinungen/Landschaft,Geographic phenomena/Landscape,Geographische Erscheinungen/Landschaft,Terrain,"12000000,32800000"
12011000,Geografische Erscheinungen/Landschaft/Namen,Geographic Phenomena/Landscape/Names,,,12010000
12012000,Gebirge/Berge/Namen,Mountains/Names,,,12010000
12013000,Inseln/Namen,Islands/Names,,,12010000
12014000,Fantast. Geogr. Ersch./Namen,Phantast Geographical Names,,,12010000
12015000,Fantast. Gebirge/Berge/Namen,Phantast Mountains/Names,,,12010000
12016000,Wälder/Forste/Namen,Woods/Forests/Names,,,12010000
12020000,Gewässer auf der Erde,Waters on earth,Wasser auf der Erde,Water on the earth,12000000
12021000,Binnengewässer,Inland water,,,12020000
12021100,Binnengewässer/Namen,Inland Water/Names,,,12021000
12021200,Fantastische Gewässer/Namen,Fantastic Waters/Names,,,12021000
12022000,Meer,Sea,Ozean,Ocean,12020000
12022100,Meer/Namen,Ocean/Names,,,12022000
12030000,Boden/Bodenbeschaffenheit,Ground/Surface conditions,,,"12000000,32800000"
12040000,Mineralien,Minerals,,,"12000000,32200000,32800000"
12041000,Mineralien/Namen,Minerals/Names,,,12040000
12050000,Metalle,Metals,,,"12000000,12050000"
12051000,Metalle/Namen,Metals/Names,,,12050000
13000000,Vegetation,Vegetation,Flora,Plants,"10000000,32400000"
13020000,Bäume,Trees,,,13000000
13022000,Waldbäume/Flurbäume,Forest trees/Meadow trees,,,13020000
13023000,Obstbäume,Fruit trees,,,13020000
