nameConceptId,prefLabelDe,prefLabelEn,broaderConcepts,exactMatches,closeMatches
40000000,Namen,Names,,,
41000000,Namen: Geographika (Toponyme),Names: Geographika (Toponyms),40000000,concept_32810000,
41100000,Namen: Universum & Himmelskörper (Astronyme),Names: Universe & Celestial Bodies (Astronymies),41000000,"concept_11100000,concept_32161000",
41110000,Namen: Sphärennamen (Kosmonyme),Names: Names of spheres (cosmonyms),41100000,,
41120000,Namen: Gestirne & Sternbilder (Astronyme),Names: Stars & Constellations (Astronyms),41100000,,
41130000,Namen: Planetennamen (Astronyme),Names: Planet names (Astronyms),41100000,,
41200000,Namen: Größere Ortsnamen (Makrotoponyme),Names: Larger Place Names (Macrotoponyms),41000000,,
41210000,Namen: Erdteile (Choronyme),Names: Earth Parts (Choronyms),41200000,concept_24122000,
41220000,Namen: Regionennamen (Choronyme),Names: Region names (Choronyms),41200000,,
41230000,Namen: Größere menschl Ortseinheiten (Choronyme),Names: Larger Human Local Units (Choronyms),41200000,,
41231000,Namen: Politische Einheiten & Staaten (Choronyme),Names: Political Units & States (Choronyms),41230000,concept_24120000,concept_24121000
41232000,Namen: Städtenamen (Urbanonyme),Names: City names (Urbanonyms),41230000,concept_24212000,concept_24212100
41233000,Namen: Dörfernamen (Oikonyme),Names: Village names (Oikonyms),41230000,concept_24222000,concept_24222300
41240000,Namen: Makro-Flurnamen (Choronyme),Names: Macro Field Names (Choronyms),41200000,,
41241000,Namen: Geografische Erscheinungen (Agronyme),Names: Geographical Appearances (Agronyms),41240000,concept_12011000,concept_12014000
41242000,Namen: Gebirgsnamen/Bergnamen (Oronyme),Names: Mountain names (Oronyms),41240000,concept_12012000,concept_12015000
41243000,Namen: Inselnamen (Choronyme),Names: Island names (Choronyms),41240000,concept_12013000,
41300000,Namen: Kleinere Ortsnamen (Mikrotoponyme),Names: Smaller Place Names (Microtoponyms),41000000,,
41310000,Namen: Mikro-Flurnamen (Agronyme),Names Micro Field Names (Agronyms),41300000,,
41311000,Namen: Wälder & Forste (Drymonyme),Names: Forests (Drymonymes),41310000,concept_12016000,
41312000,Namen: Landwirtschaftsflächen (Agronyme),Names: Farmland (Agronyms),41310000,,concept_23303010
41320000,Namen: Kleinere menschl Ortseinheiten (Oikonyme),Names: Smaller Human Local Units (Oikonyms),41300000,,
41321000,Namen: Gebäudenamen (Oikodomonyme),Names: Building names (Oikodomonyms),41320000,concept_23309021,
41321100,Namen: Burgnamen/Schlossnamen (Oikodomonyme),Names: Castle names (Oikodomonyms),41321000,concept_23253000,concept_23254000
41321200,Namen: Gehöfte/Hofnamen (Oikonyme),Names: Homestead names (Oikonyms),41321000,concept_23303140,
41321300,Namen: Kirchennamen & Kultstätten (Ekklesionyme),Names: Churches & Religious sites  (Ekklesionyms),41321000,"concept_24453100,concept_24455100",concept_24422100
41321400,Namen: Wirtshäuser (Oikonyme),Names: Inns (Oikonymes),41321000,concept_23307320,
41322000,Namen: Orte im urbanen Freiraum (Oikonyme),Names: Places in Urban Open Space (Oikonyms),41320000,,
41322100,Namen: Straßennamen & Wege (Hodonyme & Dromonyme),Names: Roads and Lanes (Hodonyms & Dromonyms),41322000,,concept_23307120
41322200,Namen: Platznamen (Agoronyme),Names: Place names (Agoronyms),41322000,,concept_23307120
