workId,responsibilityStatement,printTitle
https://dh.plus.ac.at/mhdbdb/instance/work_100,herausgegeben von Gustav Rosenhagen,Die Heidelberger Handschrift
https://dh.plus.ac.at/mhdbdb/instance/work_100,herausgegeben von Gustav Rosenhagen,Die Heidelberger Handschrift cod. Pal. germ. 341
https://dh.plus.ac.at/mhdbdb/instance/work_100,,Beispiel vom Hasen
https://dh.plus.ac.at/mhdbdb/instance/work_101,herausgegeben von Wolfgang Moelleken,Die Kleindichtung des Strickers
https://dh.plus.ac.at/mhdbdb/instance/work_101,herausgegeben von Wolfgang Moelleken,Die Kleindichtung
https://dh.plus.ac.at/mhdbdb/instance/work_101,herausgegeben von Wolfgang Moelleken,Die Kleindichtung des Strickers
https://dh.plus.ac.at/mhdbdb/instance/work_101,herausgegeben von Gustav Rosenhagen,Die Heidelberger Handschrift
https://dh.plus.ac.at/mhdbdb/instance/work_101,herausgegeben von Gustav Rosenhagen,Die Heidelberger Handschrift cod. Pal. germ. 341
https://dh.plus.ac.at/mhdbdb/instance/work_101,,Allerheiligenlitanei
https://dh.plus.ac.at/mhdbdb/instance/work_101,,Beispiel vom Hasen
https://dh.plus.ac.at/mhdbdb/instance/work_102,herausgegeben von Wolfgang Moelleken,Die Kleindichtung des Strickers
https://dh.plus.ac.at/mhdbdb/instance/work_102,herausgegeben von Wolfgang Moelleken,Die Kleindichtung
https://dh.plus.ac.at/mhdbdb/instance/work_102,herausgegeben von Wolfgang Moelleken,Die Kleindichtung des Strickers
https://dh.plus.ac.at/mhdbdb/instance/work_102,herausgegeben von Gustav Rosenhagen,Die Heidelberger Handschrift
https://dh.plus.ac.at/mhdbdb/instance/work_102,herausgegeben von Gustav Rosenhagen,Die Heidelberger Handschrift cod. Pal. germ. 341
https://dh.plus.ac.at/mhdbdb/instance/work_102,,Allerheiligenlitanei
https://dh.plus.ac.at/mhdbdb/instance/work_102,,Beispiel vom Hasen
https://dh.plus.ac.at/mhdbdb/instance/work_103,herausgegeben von Gustav Rosenhagen,Die Heidelberger Handschrift
https://dh.plus.ac.at/mhdbdb/instance/work_103,herausgegeben von Gustav Rosenhagen,Die Heidelberger Handschrift cod. Pal. germ. 341
