folder,file,ext,kategorie,bytes,geaendert
(root),20160119_WaltherHaupttext3_CodeDel.docx,.docx,text,125552,2016-01-19
(root),20160119_WaltherLeich_CodeDel.docx,.docx,text,18086,2016-01-19
(root),Albrecht von Eyb Eheb.doc,.doc,text,358400,2013-03-07
(root),Appolonius-cpg154.pdf,.pdf,pdf,85998962,2013-01-11
(root),ASL.txt,.txt,text,200411,2013-02-12
(root),Augsburger Sittenlehre.doc,.doc,text,425984,2013-03-08
(root),Brant Flugblatt Donnerstein.doc,.doc,text,126976,2013-09-28
(root),Christi Leiden.doc,.doc,text,99328,2013-03-12
(root),ChristiLeiden.docx,.docx,text,91540,2015-01-14
(root),Codierungsschema WvV.doc,.doc,text,23552,2004-11-03
(root),Das fließende Licht.docx,.docx,text,89169,2013-10-01
(root),Der Mantel.rtf,.rtf,text,504430,2014-08-04
(root),EB1.txt,.txt,text,16920,2013-03-13
(root),EB2.txt,.txt,text,11929,2013-03-13
(root),EHB.txt,.txt,text,274834,2013-03-10
(root),FAN.txt,.txt,text,14888,2013-03-13
(root),FLG.txt,.txt,text,133546,2013-11-15
(root),FLG1.doc,.doc,text,5111877,2013-12-20
(root),FR2.txt,.txt,text,22478,2013-01-16
(root),FR3.txt,.txt,text,522767,2013-01-16
(root),Frau Ava Juengstes Gericht.doc,.doc,text,39936,2013-02-20
(root),Frauenlob_Bd1.doc,.doc,text,548352,2013-01-11
(root),Frauenlob_Bd2-codiert.rtf,.rtf,text,2492607,2013-01-15
(root),Frauenlob_Bd2.rtf,.rtf,text,837035,2012-08-01
(root),GVV.txt,.txt,text,17109,2011-05-27
(root),HaesleinMHDBDB.doc,.doc,text,74752,2004-03-10
(root),Hans von Bühelv Dyocl.doc,.doc,text,1168384,2013-02-10
(root),Heinrich Münsinger.doc,.doc,text,54784,2006-12-29
(root),Helmaspergersche Notariatsinstrument.doc,.doc,text,47104,2006-12-31
(root),HNI.txt,.txt,text,10513,2013-02-10
(root),Hospitalregel Eichstätt.doc,.doc,text,72704,2007-01-02
(root),Hugo-von-Montfort_EdHofmeister.pdf,.pdf,pdf,1636900,2016-11-11
(root),HvMONTFORT.txt,.txt,text,173677,2010-03-12
(root),Lamprecht von R. Wiegand.doc,.doc,text,39936,2010-02-13
(root),Lamprecht von Regensbg.doc,.doc,text,53391,2010-03-05
(root),Lamprecht von Regensbg.pdf,.pdf,pdf,418395,2010-02-13
(root),LCH.txt,.txt,text,93295,2013-02-10
(root),Leiden Christi.doc,.doc,text,107520,2013-02-20
(root),LUU.txt,.txt,text,127517,2013-03-14
(root),Lyrik-Corpus Info.doc,.doc,text,40448,2013-10-29
(root),Lyrik-Corpus MHDBDB.doc,.doc,text,39936,2011-01-26
(root),mai und beaflor.rtf,.rtf,text,1437442,2006-05-17
(root),Meister Albrant Rossarzneibuch.doc,.doc,text,46080,2006-11-06
(root),MHM.txt,.txt,text,7186,2011-05-24
(root),Minnereden.doc,.doc,text,693248,2013-02-18
